n_ocupacao,media_MSE,var_MSE,DP_MSE
0,0.019267521433375394,0.0002233806058332957,0.014945922716021773
10,605.0324892055338,6414.677345256088,80.0916808742087
20,961.3919860148312,14125.288005226152,118.84985488096379
30,1199.7456761637313,23228.530263521003,152.40908852007811
40,1369.3317636103116,28784.986767243423,169.66138855745413
50,1440.6557935700573,33936.10941822437,184.21756001593434
60,1515.3420384384406,39452.781312309104,198.62724212028195
70,1556.3856345724341,37226.419931113385,192.94149354432133
80,1631.1861965604176,38874.28187763478,197.16562042515113
90,1684.3669781587935,46715.906079263434,216.13862699495303
100,1720.8138793064554,45990.153111903346,214.45314899041082
